Voltage (V),Current (A),Temperature (°C),Vibration (mm/s),Label
385.87,16.41,39.14,2.95,normal
354.94,19.52,84.45,17.82,moderate
392.75,18.37,55.81,2.45,normal
405.09,7.75,48.43,1.61,low
241.88,1.08,102.84,22.43,high
405.7,16.29,57.71,9.43,low
414.4,13.44,57.76,3.71,normal
404.18,18.24,31.21,3.53,normal
472.37,42.04,116.29,22.88,high
343.03,18.31,72.89,17.67,moderate
340.54,26.64,86.92,1.33,moderate
351.09,34.34,37.53,18.21,moderate
417.16,13.09,48.36,0.7,normal
398.24,11.77,36.79,2.43,normal
390.48,17.23,50.02,3.8,normal
398.23,18.32,57.03,3.75,normal
329.36,49.35,102.37,26.16,high
354.3,16.56,82.38,4.58,moderate
222.86,43.73,103.14,28.84,high
472.32,47.54,93.81,26.88,high
395.96,6.55,49.77,2.11,low
412.81,17.16,32.76,2.64,normal
391.2,19.11,35.67,0.99,normal
386.77,33.47,84.19,16.43,moderate
380.58,14.41,48.15,1.38,normal
405.79,10.7,53.87,4.19,normal
388.08,5.81,49.35,1.02,low
286.29,43.58,115.0,22.23,high
237.01,40.69,104.9,28.71,high
292.75,0.36,109.65,28.88,high
367.41,13.15,70.0,1.83,low
390.25,29.81,81.57,18.89,moderate
284.8,1.68,102.66,22.58,high
384.51,6.81,51.48,0.39,low
391.25,15.79,58.4,1.57,normal
348.83,26.68,58.95,17.92,moderate
370.8,19.41,68.82,3.26,low
400.72,10.33,58.1,2.66,normal
397.65,10.01,40.19,8.35,low
476.34,35.16,92.27,27.5,high
369.27,12.18,54.17,1.95,low
478.7,1.48,106.87,24.76,high
297.41,36.04,116.74,25.65,high
412.38,12.31,33.62,3.21,normal
382.93,6.42,31.23,3.05,low
419.02,6.76,60.18,2.98,low
392.84,15.59,50.98,4.56,normal
201.99,44.68,119.02,24.0,high
368.9,16.28,68.67,1.94,low
351.1,32.32,34.4,2.81,moderate
400.98,12.3,39.41,1.49,normal
464.22,0.96,103.18,20.47,high
394.28,18.2,40.03,3.77,normal
344.36,33.58,59.35,14.89,moderate
369.32,8.32,49.39,1.73,low
475.13,0.14,99.25,21.93,high
464.11,42.31,117.62,24.13,high
418.85,25.07,77.28,1.14,moderate
381.22,32.42,88.88,17.07,moderate
393.63,30.05,83.03,16.93,moderate
371.52,17.6,31.8,7.64,low
412.79,14.46,47.94,2.41,normal
365.96,19.08,68.54,3.6,low
345.15,14.92,78.51,17.95,moderate
406.98,7.46,68.45,4.92,low
389.93,25.1,81.81,15.03,moderate
419.07,28.32,83.93,4.32,moderate
345.48,11.98,85.26,14.75,moderate
345.92,14.58,54.12,17.37,moderate
462.42,45.82,98.58,24.73,high
344.52,29.54,51.87,4.01,moderate
362.38,7.41,57.64,0.53,low
359.58,19.82,30.82,12.87,moderate
408.06,14.99,55.32,4.69,normal
477.16,40.31,104.33,24.65,high
472.37,0.99,90.82,20.98,high
398.91,8.94,58.43,9.15,low
415.03,6.95,43.04,4.66,low
479.55,1.25,98.62,24.05,high
406.91,19.71,56.05,1.01,normal
406.42,28.94,70.22,12.41,moderate
374.54,13.15,44.12,5.77,low
349.74,18.14,71.0,13.61,moderate
418.82,15.11,36.04,8.79,low
366.54,9.05,36.82,2.69,low
383.48,17.52,32.16,3.64,normal
413.47,18.07,36.45,8.17,low
415.89,14.99,48.78,1.13,normal
350.58,31.67,46.3,16.41,moderate
397.96,12.0,59.6,4.43,normal
389.92,19.99,55.67,2.03,normal
417.72,17.95,65.65,4.41,low
472.41,0.45,90.09,22.4,high
465.22,42.54,92.19,23.55,high
385.67,13.26,54.37,3.03,normal
361.22,19.86,40.28,1.36,low
317.03,1.66,95.45,23.03,high
413.42,14.12,34.94,0.72,normal
394.55,10.74,56.09,1.83,normal
398.8,10.98,36.53,3.56,normal
381.7,16.55,45.56,4.76,normal
470.25,46.13,118.67,26.83,high
384.77,6.65,57.21,6.91,low
347.72,19.49,71.87,18.24,moderate
394.54,15.51,48.85,0.27,normal
271.23,47.06,104.51,26.19,high
377.96,18.04,45.34,9.32,low
372.1,11.25,32.26,9.98,low
466.46,41.71,91.15,25.67,high
411.43,5.27,38.19,0.92,low
375.21,7.67,31.77,3.69,low
340.81,19.02,87.61,18.8,moderate
399.63,34.79,78.72,17.89,moderate
367.31,11.7,47.77,0.25,low
393.26,30.51,87.12,16.63,moderate
400.61,7.75,58.0,2.02,low
367.48,10.54,53.46,1.11,low
401.77,25.82,70.97,14.55,moderate
268.72,1.77,100.97,27.45,high
473.94,42.8,91.75,20.9,high
409.67,14.27,38.14,1.78,normal
339.16,37.98,108.0,29.41,high
416.25,19.36,53.66,2.52,normal
388.14,18.37,59.61,1.74,normal
398.89,29.26,80.21,3.05,moderate
348.27,32.4,74.98,0.6,moderate
419.47,18.88,47.03,8.76,low
357.05,34.7,49.54,4.58,moderate
407.39,27.81,75.26,18.68,moderate
245.85,1.87,90.43,23.25,high
384.44,12.94,60.24,3.66,low
342.23,17.02,80.94,4.76,moderate
387.12,8.43,60.45,4.75,low
355.42,26.0,51.46,10.68,moderate
347.55,12.9,76.33,13.01,moderate
464.38,0.84,92.31,23.54,high
360.72,15.5,58.76,2.41,low
341.46,29.74,30.24,0.55,moderate
417.9,13.71,52.92,0.49,normal
349.26,26.18,32.44,0.79,moderate
473.55,45.6,91.1,21.93,high
349.4,28.33,54.59,0.99,moderate
311.35,40.64,94.75,23.5,high
344.92,17.19,47.65,14.32,moderate
411.86,11.32,64.89,1.27,low
384.47,16.03,36.43,2.11,normal
398.21,16.04,43.17,4.88,normal
419.49,26.5,83.03,12.69,moderate
402.0,19.05,57.62,1.2,normal
377.06,16.71,45.46,3.56,low
382.28,30.79,85.34,4.63,moderate
354.41,16.56,81.35,11.87,moderate
299.1,40.16,97.56,23.96,high
383.25,14.73,48.26,7.43,low
472.12,0.97,103.37,24.17,high
379.7,9.42,55.44,1.87,low
378.78,10.78,51.14,9.72,low
382.27,15.35,39.91,2.98,normal
403.33,17.41,36.37,4.56,normal
418.17,12.37,30.5,8.77,low
396.03,15.81,60.18,7.43,low
244.17,47.37,115.5,27.55,high
340.35,13.15,89.24,1.89,moderate
344.36,30.41,80.83,1.17,moderate
392.75,14.55,41.67,4.81,normal
408.59,10.26,52.59,3.11,normal
404.13,28.59,78.48,16.22,moderate
351.25,30.11,80.39,2.25,moderate
408.3,14.76,43.33,1.66,normal
383.03,10.53,43.96,1.93,normal
378.7,12.4,52.42,4.19,low
419.9,15.65,30.87,2.72,normal
370.23,14.04,61.83,2.36,low
390.53,5.19,53.09,4.08,low
418.31,13.04,34.65,1.56,normal
397.89,31.77,79.53,0.51,moderate
407.58,10.56,35.27,2.07,normal
280.48,47.18,111.39,22.04,high
212.7,47.79,105.08,20.8,high
384.68,19.75,68.38,4.02,low
352.92,28.53,55.08,2.57,moderate
242.25,37.97,101.02,27.81,high
402.9,8.26,32.29,7.45,low
342.63,19.89,73.61,11.18,moderate
382.83,19.49,33.08,4.81,normal
308.71,39.83,92.05,26.92,high
356.8,29.32,34.08,3.5,moderate
411.18,14.89,54.24,4.91,normal
466.36,1.41,90.87,23.53,high
373.36,8.73,48.3,0.47,low
353.2,12.85,85.25,12.65,moderate
353.95,28.43,57.82,10.48,moderate
390.3,13.51,50.87,1.01,normal
283.07,35.16,95.84,25.27,high
359.17,28.51,83.67,4.39,moderate
286.63,0.21,94.27,28.63,high
477.74,37.03,117.02,23.57,high
382.0,27.19,46.06,12.19,moderate
383.9,7.49,49.03,4.0,low
417.26,13.39,57.9,9.47,low
417.85,14.31,85.71,13.23,moderate
359.26,11.7,75.86,14.58,moderate
375.93,19.07,56.08,8.52,low
410.08,16.82,46.22,4.11,normal
354.6,31.58,59.73,2.64,moderate
406.44,13.35,42.97,4.31,normal
357.1,26.44,53.88,14.18,moderate
400.59,12.71,45.91,3.93,normal
381.57,17.59,64.83,3.5,low
405.75,7.93,43.36,7.55,low
372.18,17.09,38.06,9.66,low
479.2,0.32,98.5,27.41,high
407.9,13.33,56.83,0.65,normal
396.03,8.86,56.92,2.02,low
397.1,30.29,87.53,3.29,moderate
419.8,12.52,69.69,0.92,low
401.44,8.45,67.28,4.13,low
299.11,38.11,103.7,21.69,high
392.4,18.16,56.16,3.16,normal
416.47,18.25,35.09,7.18,low
353.76,25.73,58.75,11.09,moderate
330.66,43.98,105.19,28.6,high
462.93,1.37,115.12,24.95,high
347.86,32.39,86.2,4.98,moderate
415.49,16.36,55.21,0.24,normal
401.64,11.57,60.61,3.42,low
410.73,6.25,33.89,7.01,low
461.5,1.77,97.65,29.44,high
474.01,39.03,91.09,22.43,high
380.34,12.97,60.88,6.6,low
461.9,0.2,94.95,23.54,high
350.23,26.2,47.63,0.42,moderate
418.17,18.26,43.97,0.15,normal
348.48,12.0,78.16,1.72,moderate
383.73,14.4,45.84,1.19,normal
358.11,26.13,72.51,2.24,moderate
322.76,48.56,111.72,27.12,high
345.4,32.9,38.39,10.17,moderate
360.95,13.53,64.71,1.81,low
389.28,8.16,34.41,0.16,low
400.27,10.7,42.11,1.75,normal
369.4,5.47,31.23,3.2,low
414.65,25.4,82.43,0.71,moderate
375.57,14.32,37.58,3.4,low
375.96,10.12,52.99,3.64,low
280.82,1.99,102.83,23.08,high
402.54,6.33,68.99,2.01,low
418.29,11.58,41.21,4.46,normal
416.52,16.97,33.33,2.53,normal
412.81,28.85,82.52,4.92,moderate
342.62,17.42,47.85,13.47,moderate
408.62,10.93,59.22,2.99,normal
219.59,42.19,106.74,27.79,high
259.12,1.08,98.2,24.08,high
317.33,1.21,98.77,29.12,high
395.58,17.07,66.78,6.26,low
471.11,0.29,118.05,26.63,high
355.74,28.37,71.92,1.67,moderate
395.03,15.77,46.01,4.44,normal
384.51,9.69,69.63,3.29,low
260.23,39.07,98.0,23.76,high
354.56,28.17,58.47,13.9,moderate
371.01,9.85,48.14,4.41,low
417.53,9.96,60.14,2.21,low
381.24,29.73,82.17,15.64,moderate
412.68,17.63,49.69,1.13,normal
398.21,17.32,56.64,3.87,normal
375.09,10.66,33.42,1.58,low
462.15,0.29,90.04,26.75,high
348.36,27.59,41.84,16.59,moderate
392.21,14.09,53.92,3.11,normal
399.82,11.82,31.05,2.51,normal
382.01,7.5,39.17,6.67,low
411.79,7.1,69.51,2.19,low
394.13,15.99,52.86,2.59,normal
237.27,41.85,107.8,23.75,high
392.23,16.97,63.69,2.61,low
351.34,29.68,58.92,17.89,moderate
214.28,47.09,93.89,28.83,high
360.05,18.7,69.07,0.52,low
411.11,17.89,48.08,0.46,normal
347.04,18.26,72.2,17.89,moderate
404.19,9.75,36.33,5.68,low
408.72,14.06,56.86,2.59,normal
407.85,33.57,39.56,18.61,moderate
415.58,16.96,81.91,12.46,moderate
373.64,14.43,57.14,5.82,low
461.29,0.42,110.98,24.13,high
249.64,1.8,99.91,29.39,high
356.93,27.45,43.6,14.95,moderate
395.05,16.53,57.35,0.28,normal
394.94,19.39,43.31,1.93,normal
286.41,1.93,95.36,25.11,high
369.85,18.47,43.4,4.49,low
203.38,1.79,90.74,28.14,high
382.76,18.73,31.91,8.51,low
410.74,19.61,55.36,2.42,normal
405.49,15.67,56.25,0.42,normal
371.32,19.62,37.52,7.5,low
419.25,16.03,60.91,3.62,low
400.99,14.56,33.48,0.12,normal
410.47,19.4,46.41,2.14,normal
413.09,17.69,48.94,3.79,normal
350.88,27.66,73.87,1.06,moderate
474.07,45.14,113.8,27.8,high
385.86,13.79,62.41,3.92,low
358.7,13.47,72.85,17.98,moderate
397.76,17.04,46.53,9.31,low
384.66,17.1,31.23,3.94,normal
467.78,1.97,117.49,21.07,high
414.79,14.3,38.4,1.47,normal
355.02,32.22,71.2,1.13,moderate
399.97,15.83,56.71,4.41,normal
398.29,17.95,64.0,0.11,low
478.3,49.08,95.1,27.48,high
402.09,15.05,31.17,4.85,normal
463.0,49.45,117.86,22.95,high
398.8,15.27,54.87,1.2,normal
249.04,0.86,119.17,20.2,high
371.76,13.38,65.3,0.17,low
362.15,18.47,46.8,6.98,low
414.26,19.01,33.29,1.79,normal
363.93,15.44,41.1,6.81,low
390.12,18.77,60.42,2.78,low
348.24,18.22,75.74,10.51,moderate
411.22,12.11,57.93,0.09,normal
476.59,46.54,104.0,25.5,high
410.74,12.28,49.06,4.6,normal
373.77,9.46,30.25,0.45,low
406.11,7.65,64.09,0.82,low
477.01,0.08,107.37,28.97,high
419.9,5.04,61.18,3.65,low
406.43,6.29,61.09,1.87,low
419.41,9.78,54.25,0.35,low
419.04,29.82,71.7,3.93,moderate
418.77,19.95,45.66,4.8,normal
351.39,33.79,84.4,2.71,moderate
470.94,1.17,111.7,26.07,high
395.25,13.52,33.45,1.53,normal
414.22,8.82,32.45,7.45,low
418.93,7.14,58.85,0.62,low
380.69,28.32,89.98,18.22,moderate
399.01,11.61,42.89,7.78,low
382.47,11.13,51.97,4.87,normal
389.38,9.16,43.45,6.26,low
462.13,49.41,111.21,21.35,high
461.21,1.66,90.47,24.99,high
402.5,30.96,78.03,17.03,moderate
382.84,31.59,80.01,18.19,moderate
364.39,7.21,57.11,3.71,low
412.65,30.98,81.35,16.27,moderate
419.29,11.89,38.13,2.42,normal
372.8,6.6,52.26,4.57,low
394.66,14.19,47.05,7.26,low
260.13,41.12,100.67,25.81,high
294.81,41.97,105.26,20.33,high
203.42,47.43,105.07,22.58,high
404.25,14.99,46.51,1.71,normal
357.32,18.0,75.97,14.48,moderate
351.41,32.01,40.92,16.86,moderate
469.58,35.41,111.37,29.43,high
415.02,16.73,58.63,4.89,normal
391.53,6.79,59.61,3.01,low
399.77,7.83,67.19,1.76,low
398.04,13.31,31.84,2.02,normal
394.73,7.27,53.43,2.5,low
354.39,19.49,76.77,13.63,moderate
385.96,16.29,49.61,0.92,normal
416.02,34.7,73.4,14.54,moderate
475.59,0.64,95.12,24.16,high
403.78,14.6,61.86,2.33,low
464.31,45.01,103.46,23.09,high
357.89,14.36,83.96,10.75,moderate
293.08,36.08,90.42,24.29,high
415.62,14.24,34.32,0.02,normal
353.22,19.25,37.31,13.76,moderate
394.97,15.91,69.95,4.88,low
355.25,13.8,78.82,4.27,moderate
412.55,14.7,47.01,3.95,normal
276.61,45.26,97.27,25.4,high
291.62,1.74,99.08,24.17,high
403.59,15.15,47.48,0.1,normal
341.82,14.86,70.83,15.63,moderate
388.98,13.89,45.49,1.27,normal
343.79,10.86,75.04,4.05,moderate
370.95,11.3,62.73,0.33,low
403.04,34.61,75.71,12.5,moderate
240.89,43.97,96.91,26.22,high
292.38,45.5,113.54,26.48,high
391.32,16.23,33.77,0.58,normal
406.43,15.16,38.25,3.97,normal
354.54,14.1,36.64,12.76,moderate
468.8,35.79,98.94,29.26,high
402.93,13.38,60.32,9.26,low
389.88,13.97,38.11,0.38,normal
375.85,18.63,59.99,3.76,low
277.68,36.8,97.56,21.02,high
345.88,30.89,72.0,3.23,moderate
370.0,7.66,38.51,0.43,low
465.94,1.26,103.87,26.12,high
464.16,37.39,109.78,24.02,high
409.62,5.6,54.61,1.84,low
377.11,12.0,48.12,4.07,low
344.52,18.77,74.74,12.06,moderate
462.57,38.82,112.8,20.79,high
412.36,12.61,39.85,4.25,normal
367.26,16.65,36.9,4.88,low
464.75,40.21,93.21,21.64,high
387.82,10.96,59.84,4.29,normal
382.23,17.18,38.01,4.0,normal
380.79,9.46,52.41,2.02,low
412.28,17.28,67.01,1.21,low
234.91,1.83,102.94,28.84,high
393.15,16.9,61.82,8.64,low
372.28,13.16,37.25,5.32,low
364.58,16.22,40.92,3.98,low
406.09,16.31,42.4,1.94,normal
373.01,7.0,49.56,1.68,low
410.66,29.88,71.46,12.65,moderate
338.41,44.09,118.21,24.43,high
471.11,0.63,116.68,25.68,high
346.96,33.52,32.82,2.98,moderate
399.4,12.67,45.25,6.93,low
394.87,15.93,58.18,7.38,low
479.8,43.39,100.97,22.8,high
367.82,14.03,50.53,6.9,low
398.82,12.01,34.78,0.26,normal
373.47,18.48,43.43,7.93,low
211.67,0.79,95.58,20.35,high
355.4,14.22,81.08,14.62,moderate
416.27,12.12,43.2,2.47,normal
359.98,33.05,86.9,3.1,moderate
402.82,6.87,49.7,0.49,low
356.33,26.72,78.63,2.18,moderate
419.84,18.64,68.31,3.35,low
353.8,33.9,85.37,0.54,moderate
218.26,0.9,99.67,28.09,high
461.93,0.91,119.93,21.39,high
352.8,10.84,75.61,1.57,moderate
281.04,0.1,105.23,29.72,high
389.3,16.6,55.4,7.83,low
353.71,28.13,52.23,4.4,moderate
342.5,12.32,74.45,15.68,moderate
409.31,13.68,38.61,3.05,normal
405.24,18.59,61.15,0.02,low
377.77,14.18,33.71,4.0,low
357.31,17.43,57.97,15.62,moderate
378.38,13.25,57.83,4.87,low
287.07,0.56,94.01,24.78,high
417.29,17.77,47.52,0.11,normal
370.4,14.96,64.87,4.71,low
417.65,10.26,85.85,15.16,moderate
388.94,15.3,41.4,4.11,normal
386.42,29.85,82.69,15.23,moderate
462.95,1.21,117.81,22.18,high
416.68,15.74,49.0,0.93,normal
475.3,39.22,119.84,23.93,high
419.41,14.39,59.46,4.43,normal
477.65,0.23,119.85,25.52,high
477.08,1.32,92.4,28.99,high
468.71,1.55,109.42,28.04,high
470.33,0.23,107.21,28.53,high
354.08,33.95,48.7,0.58,moderate
381.82,12.93,42.72,4.67,normal
283.4,0.64,101.38,20.73,high
378.38,6.92,53.85,4.32,low
370.15,13.74,61.98,3.23,low
349.35,32.05,51.53,1.22,moderate
400.03,19.05,38.56,3.01,normal
379.77,12.75,54.16,3.64,low
343.38,30.5,79.19,1.33,moderate
416.41,33.03,42.0,13.8,moderate
405.7,5.19,67.4,1.4,low
399.13,9.39,64.11,3.76,low
343.86,25.71,49.46,14.35,moderate
303.12,1.01,100.28,22.63,high
413.49,13.57,49.91,2.88,normal
412.51,11.22,39.1,8.82,low
412.01,32.62,85.23,2.47,moderate
397.57,12.29,63.28,0.83,low
419.37,28.43,71.23,1.9,moderate
393.79,7.88,57.87,1.65,low
386.14,10.49,50.29,1.7,normal
357.93,26.54,48.59,11.8,moderate
390.9,13.09,50.92,1.68,normal
347.34,25.24,58.22,17.3,moderate
382.72,6.35,49.74,9.51,low
391.01,15.18,73.41,10.61,moderate
378.91,15.74,46.13,5.69,low
383.39,18.86,64.19,1.94,low
418.56,10.28,73.59,10.77,moderate
472.5,45.51,103.95,29.77,high
395.2,18.05,45.93,3.81,normal
418.83,17.19,64.53,5.41,low
364.85,18.01,33.38,3.55,low
353.23,15.31,75.47,10.79,moderate
360.64,15.49,58.15,0.87,low
299.23,0.9,105.32,21.48,high
413.01,18.79,37.99,3.59,normal
354.2,10.03,79.98,13.02,moderate
272.48,49.85,97.34,23.93,high
473.92,41.92,116.59,29.71,high
395.43,12.61,54.45,3.66,normal
408.1,12.32,70.5,18.24,moderate
478.03,40.29,116.15,25.2,high
411.67,18.08,36.62,4.47,normal
379.96,10.26,67.66,0.21,low
215.86,1.36,110.32,21.88,high
366.41,16.17,51.39,5.54,low
221.01,1.88,97.45,29.12,high
419.16,19.52,30.49,4.46,normal
342.54,10.75,74.91,0.28,moderate
460.71,1.08,110.11,25.73,high
235.42,36.7,106.0,27.75,high
359.21,14.96,74.39,4.62,moderate
325.2,47.77,92.42,29.32,high
387.5,16.76,51.48,3.95,normal
401.72,12.78,45.76,0.66,normal
479.4,37.23,96.03,27.26,high
396.29,14.92,52.1,5.25,low
353.0,12.04,83.34,1.53,moderate
363.86,12.13,60.71,2.83,low
460.05,46.19,96.43,28.83,high
369.74,14.03,39.2,4.53,low
385.85,25.9,44.03,15.02,moderate
350.93,18.6,86.48,12.67,moderate
349.25,27.1,85.34,3.93,moderate
399.96,11.46,37.58,0.12,normal
370.85,9.19,52.11,0.51,low
389.56,26.38,81.66,15.07,moderate
394.44,10.26,33.96,2.51,normal
354.61,14.93,78.93,13.67,moderate
467.81,0.25,96.75,27.39,high
401.26,25.4,74.43,12.21,moderate
399.17,17.01,30.5,4.19,normal
396.51,16.48,63.09,8.92,low
345.31,26.93,37.13,2.75,moderate
419.16,7.01,41.82,1.36,low
417.61,16.55,30.08,0.13,normal
357.98,11.55,82.55,11.87,moderate
461.13,41.88,98.7,29.12,high
405.15,14.29,57.65,1.04,normal
419.64,19.76,40.29,3.65,normal
407.23,17.35,50.2,4.39,normal
382.47,15.09,58.62,4.73,normal
417.52,12.78,53.37,4.18,normal
477.3,44.11,97.97,20.86,high
465.18,41.14,103.98,22.96,high
379.94,6.65,46.93,1.71,low
382.28,10.6,57.26,4.74,normal
406.71,28.48,71.04,15.92,moderate
472.95,1.7,100.92,26.81,high
357.91,19.68,83.18,17.79,moderate
414.1,16.46,61.72,5.62,low
390.79,14.23,46.76,8.53,low
358.0,25.4,41.14,2.48,moderate
376.2,18.65,49.45,1.75,low
396.32,19.69,35.61,2.98,normal
371.16,17.81,35.35,2.08,low
387.82,15.71,48.98,1.33,normal
384.88,11.08,56.58,4.21,normal
409.41,6.29,40.12,4.79,low
354.82,32.79,52.14,4.12,moderate
392.7,9.84,52.31,0.89,low
357.18,17.59,80.45,12.71,moderate
400.98,15.64,46.36,2.52,normal
381.84,5.05,49.45,7.85,low
478.75,37.04,116.14,23.09,high
330.96,1.81,113.33,28.7,high
385.23,11.85,57.81,1.63,normal
309.65,0.34,106.69,29.25,high
358.22,13.13,72.15,0.64,moderate
386.41,10.87,35.82,1.16,normal
388.17,13.05,61.29,1.45,low
297.95,46.58,90.84,26.61,high
478.84,1.27,91.15,20.55,high
395.82,15.24,50.43,1.27,normal
414.81,13.41,57.16,7.37,low
407.95,17.43,58.29,0.51,normal
463.06,0.95,119.47,21.01,high
419.38,9.61,34.09,3.27,low
350.84,10.53,72.35,18.66,moderate
381.37,18.42,35.55,0.43,normal
419.58,13.01,55.02,3.61,normal
413.32,31.43,73.38,4.96,moderate
285.19,44.13,101.99,26.57,high
362.63,8.08,50.73,0.56,low
375.16,18.42,52.23,5.34,low
355.17,32.87,53.52,14.98,moderate
384.5,10.8,38.04,3.0,normal
395.64,17.24,34.89,4.82,normal
350.93,29.02,87.26,0.95,moderate
409.99,12.98,65.78,2.04,low
419.65,18.04,41.95,1.04,normal
471.24,35.41,91.82,28.82,high
416.6,6.74,60.16,2.36,low
475.38,1.88,90.35,22.16,high
407.06,14.92,44.57,3.25,normal
363.06,15.8,50.4,8.37,low
362.12,19.09,64.66,1.63,low
395.6,5.64,64.05,2.66,low
325.59,45.9,101.82,29.41,high
388.46,9.84,33.25,8.61,low
214.44,1.03,115.39,24.22,high
341.62,25.11,47.57,16.99,moderate
405.36,14.97,44.28,1.42,normal
219.88,0.08,111.35,25.12,high
416.19,12.67,43.11,1.86,normal
337.17,44.74,103.35,25.19,high
337.83,35.17,112.34,26.48,high
387.93,18.14,50.63,4.53,normal
402.41,11.1,37.94,0.8,normal
408.85,16.73,56.62,5.16,low
308.59,41.41,109.96,23.09,high
224.75,0.65,105.57,20.82,high
401.46,11.41,33.51,1.29,normal
409.4,10.62,77.95,10.07,moderate
476.16,0.26,118.21,29.06,high
400.29,17.53,36.19,2.76,normal
341.25,14.09,38.38,17.01,moderate
400.25,7.49,37.28,1.9,low
399.71,5.12,35.99,2.28,low
367.22,5.44,39.09,0.08,low
399.8,14.3,31.45,0.97,normal
219.82,37.18,106.97,25.23,high
414.15,16.86,38.6,4.11,normal
403.08,8.45,56.37,6.49,low
399.64,19.7,58.82,2.42,normal
419.36,17.61,46.04,3.0,normal
304.54,46.5,118.02,29.75,high
318.49,0.25,97.05,27.5,high
412.54,12.67,53.62,0.58,normal
384.37,19.57,68.23,4.25,low
391.76,19.86,67.88,7.26,low
355.4,15.21,33.09,10.26,moderate
417.56,13.87,58.26,1.62,normal
411.37,12.42,51.02,2.91,normal
409.34,17.91,30.8,0.39,normal
345.88,15.5,75.74,16.99,moderate
359.62,11.77,83.46,1.49,moderate
356.12,14.51,76.15,10.77,moderate
467.29,36.56,116.64,27.63,high
382.16,14.82,42.11,2.41,normal
389.39,5.58,69.36,4.55,low
475.82,1.87,119.5,22.1,high
405.2,12.8,52.12,2.55,normal
393.17,15.56,64.6,4.83,low
220.83,48.79,113.32,20.13,high
224.96,0.69,96.05,29.58,high
353.28,27.66,74.33,1.05,moderate
474.39,47.54,104.64,26.11,high
386.68,19.37,35.69,4.04,normal
369.23,12.12,47.48,4.02,low
403.96,17.87,68.06,2.04,low
367.81,18.32,35.62,2.46,low
407.37,14.72,36.57,1.09,normal
336.06,1.02,115.12,22.13,high
460.25,0.65,117.33,28.63,high
400.7,18.89,61.97,4.49,low
478.11,1.04,118.77,25.39,high
391.16,15.22,51.65,4.01,normal
465.99,47.87,97.17,26.87,high
341.8,25.8,74.82,1.59,moderate
399.5,13.14,55.92,1.35,normal
392.87,6.41,66.08,3.86,low
359.52,26.38,36.34,4.57,moderate
407.05,5.48,68.12,2.94,low
405.89,10.46,51.31,1.42,normal
302.19,36.49,97.08,25.94,high
218.03,1.91,113.43,24.19,high
463.1,1.33,96.98,25.94,high
380.02,13.46,86.21,14.49,moderate
345.77,34.01,46.52,1.6,moderate
404.47,18.19,59.31,2.6,normal
385.06,15.52,48.7,1.66,normal
377.49,8.0,45.13,4.73,low
473.93,1.39,119.54,21.91,high
374.87,8.31,53.03,2.05,low
369.92,17.44,55.59,3.09,low
324.92,43.61,116.61,29.64,high
411.15,17.51,60.68,3.67,low
391.07,31.53,72.5,15.09,moderate
343.02,25.81,53.79,18.29,moderate
354.56,31.66,81.26,2.83,moderate
354.42,15.49,42.92,11.04,moderate
345.99,30.89,87.63,2.93,moderate
401.48,8.99,68.26,1.98,low
378.89,6.26,39.58,2.22,low
388.81,17.75,56.06,3.68,normal
474.58,36.97,108.73,28.88,high
469.99,49.82,112.61,26.34,high
397.11,19.29,67.51,8.98,low
344.54,15.56,83.37,2.3,moderate
354.78,16.41,42.88,11.86,moderate
397.74,15.97,50.27,3.74,normal
391.13,12.09,54.34,4.76,normal
409.91,17.02,53.75,4.41,normal
297.37,1.32,114.0,21.84,high
395.91,15.05,47.86,1.38,normal
390.94,5.45,39.15,0.77,low
392.39,12.8,55.52,0.93,normal
418.12,12.47,42.03,0.85,normal
406.47,14.14,30.68,1.09,normal
409.06,13.31,49.59,1.52,normal
474.65,41.02,118.46,27.55,high
464.11,44.0,116.06,22.19,high
395.48,26.9,50.84,10.68,moderate
392.74,5.76,49.99,0.86,low
392.7,18.02,37.19,4.46,normal
220.24,0.67,107.26,21.41,high
383.53,15.47,46.13,7.96,low
341.41,14.18,82.97,1.61,moderate
252.18,1.76,91.63,21.89,high
463.18,42.82,104.08,27.28,high
365.23,13.41,67.29,2.98,low
382.54,10.03,34.68,3.77,normal
340.24,28.57,31.47,10.94,moderate
404.14,28.23,52.9,13.1,moderate
343.27,29.45,53.46,19.16,moderate
387.11,15.31,61.4,3.34,low
370.1,11.75,40.09,0.48,low
408.46,19.96,44.08,1.63,normal
262.06,42.21,104.88,26.59,high
294.24,44.6,95.79,28.37,high
475.46,1.16,119.68,28.46,high
400.04,10.86,46.06,2.6,normal
297.34,38.78,102.85,23.88,high
416.04,6.86,49.86,1.23,low
352.37,32.45,41.49,10.58,moderate
403.33,32.97,75.86,3.13,moderate
405.75,19.75,59.73,4.66,normal
418.39,15.05,44.56,3.58,normal
393.57,13.3,52.55,2.11,normal
340.29,31.06,45.31,17.99,moderate
414.85,11.18,36.69,0.56,normal
343.61,16.58,74.33,0.82,moderate
305.64,1.11,93.53,21.44,high
400.6,17.27,44.29,2.34,normal
402.28,15.34,44.11,4.13,normal
476.21,1.59,105.33,21.77,high
405.1,10.06,66.69,5.42,low
353.43,33.97,87.51,3.75,moderate
381.18,13.13,33.75,0.63,normal
394.74,12.89,52.85,0.03,normal
412.08,17.62,57.55,3.61,normal
